ID,Address,Email,Password,Name,City,Longitude,State,Source,Birth Date,Zip,Latitude,Created At
1,9611-9809 West Rosedale Road,borer-hudson@yahoo.com,ccca881f-3e4b-4e5c-8336-354103604af6,Hudson Borer,Wood River,"-98,53",NE,Twitter,"dezembro 12, 1986",68883,"40,71","outubro 7, 2017, 1:34 AM"
2,101 4th Street,williamson-domenica@yahoo.com,eafc45bf-cf8e-4c96-ab35-ce44d0021597,Domenica Williamson,Searsboro,"-92,7",IA,Affiliate,"junho 10, 1967",50242,"41,58","abril 9, 2018, 12:10 PM"
3,29494 Anderson Drive,lina.heaney@yahoo.com,36f67891-34e5-4439-a8a4-2d9246775ff8,Lina Heaney,Sandstone,"-92,84",MN,Facebook,"dezembro 18, 1961",55072,"46,12","junho 27, 2017, 6:06 AM"
4,2-7900 Cuerno Verde Road,adams.arnold@gmail.com,537a727b-7525-44a3-99c8-8fdc488fbf02,Arnold Adams,Rye,"-104,97",CO,Google,"agosto 12, 1992",81069,"37,92","fevereiro 21, 2019, 1:59 PM"
5,761 Fish Hill Road,leffler.dominique@hotmail.com,6a802b6c-4da8-4881-9ca6-4f69085c7c14,Dominique Leffler,Beaver Dams,"-77,06",NY,Twitter,"abril 20, 1974",14812,"42,35","setembro 5, 2017, 3:36 AM"
6,1243 West Whitney Street,rene.muller@gmail.com,760495fb-9c38-4351-a6ee-4743d10d345e,Rene Muller,Morse,"-92,49",LA,Google,"março 27, 1983",70559,"30,15","setembro 22, 2016, 10:08 AM"
7,630 Coaker Road,bosco.roselyn@hotmail.com,43adf4af-055b-4a39-bc06-489fb0ffcf40,Roselyn Bosco,Leakesville,"-88,59",MS,Facebook,"janeiro 19, 1996",39451,"31,23","maio 24, 2018, 6:18 AM"
8,1167 East 570th Avenue,aracely.jenkins@gmail.com,6bb01b7f-6426-47d3-bfca-95dcc42b8b27,Aracely Jenkins,Pittsburg,"-94,64",KS,Facebook,"junho 5, 1973",66762,"37,43","agosto 18, 2017, 2:55 AM"
9,5816-5894 280th Street,ward.anais@gmail.com,a3de5208-2f2f-4c81-9fe7-8d254bd5095d,Anais Ward,Ida Grove,"-95,47",IA,Twitter,"outubro 16, 1999",51445,"42,3","outubro 13, 2018, 11:52 PM"
10,13081-13217 Main Street,white.tressa@yahoo.com,81052233-b32e-43cb-9505-700dbd8d3fca,Tressa White,Upper Sandusky,"-83,28",OH,Google,"janeiro 13, 1968",43351,"40,8","agosto 16, 2018, 12:16 PM"
11,495 Juniper Road,schaefer-lolita@hotmail.com,ceddd766-924b-4856-9dcb-a15b4c1b154c,Lolita Schaefer,Pilot Mound,"-93,98",IA,Facebook,"agosto 20, 1982",50223,"42,14","março 19, 2018, 7:17 AM"
12,16701-16743 449th Avenue,ciara-larson@hotmail.com,eb925d11-ea2f-41fb-a490-72b7c2b24dc0,Ciara Larson,Florence,"-97,23",SD,Facebook,"dezembro 16, 1982",57235,"44,96","junho 27, 2018, 5:25 PM"
13,2993 Hoskings Ranch Road,mustafa.thiel@hotmail.com,bb85c7fa-4314-4e41-a060-7d0159f16931,Mustafa Thiel,Santa Ysabel,"-116,66",CA,Facebook,"julho 20, 1963",92070,"33,08","setembro 21, 2017, 4:21 PM"
14,3964 Chico River Road,senger.lavonne@yahoo.com,8beebcc9-a376-447a-812f-7544fdc52ec7,Lavonne Senger,Chico,"-121,93",CA,Facebook,"setembro 22, 1963",95928,"39,65","junho 17, 2018, 11:29 PM"
15,258 Opal Road,romaguera.bertrand@gmail.com,2734ae7a-aa25-4907-9d2e-a6992750db60,Bertrand Romaguera,El Paso,"-92,01",AR,Twitter,"fevereiro 14, 2000",72045,"35,11","dezembro 20, 2018, 5:50 PM"
16,3234 County Road 7,khalid-pouros@yahoo.com,e60e4c1e-c9dc-47fe-9f4b-138651cebd85,Khalid Pouros,Greensboro,"-87,54",AL,Google,"setembro 16, 1961",36744,"32,7","maio 14, 2016, 11:44 PM"
17,6111 Rogue Riv,lora-cronin@gmail.com,1b414387-e9c0-4b97-ba60-263268e38f3d,Lora Cronin,Gold Beach,"-124,19",OR,Organic,"fevereiro 16, 1990",97444,"42,5","março 5, 2017, 8:38 PM"
18,13116 Northeast Sandy Boulevard,pollich-arely@yahoo.com,251cd4bd-d7c9-4704-a864-edd953952a9b,Arely Pollich,Portland,"-122,53",OR,Affiliate,"junho 27, 1990",97230,"45,55","abril 25, 2017, 8:11 PM"
19,1460 Grays Creek Road,wyman-kertzmann@gmail.com,89ef82c4-55e2-4907-94a6-09b0368b3c58,Wyman Kertzmann,Grants Pass,"-123,32",OR,Affiliate,"julho 23, 1975",97527,"42,32","dezembro 3, 2018, 7:27 AM"
20,52737 570th Street,aufderhar.john@yahoo.com,edd767f7-ef71-42bf-807e-f96fdee4b7b4,John Aufderhar,Marne,"-95,1",IA,Affiliate,"outubro 26, 1991",51552,"41,47","outubro 12, 2018, 11:32 PM"
21,2002-2078 North J Road,angela-botsford@hotmail.com,4d4e6ab3-88a9-462f-9244-80d1865b31b1,Angela Botsford,Phillips,"-98,13",NE,Twitter,"julho 17, 1999",68865,"40,98","junho 7, 2017, 3:02 AM"
22,1165 Rimrock Drive,jeromy.smith@yahoo.com,5858bd6f-7731-4e39-a506-f5e29419785a,Jeromy Smith,Napa,"-122,19",CA,Twitter,"fevereiro 16, 1967",94558,"38,51","setembro 29, 2017, 9:34 PM"
23,2003 Brigham Landing Road,kiehn-candida@yahoo.com,8e866dca-3fa2-4c1d-aeaa-cf0a2642ce95,Candida Kiehn,Girard,"-81,68",GA,Facebook,"agosto 6, 1971",30426,"33,09","abril 16, 2017, 1:10 AM"
24,20930 Sugar Hills Road,weber-nya@gmail.com,07401ce0-ed0d-406d-b370-4aa0945a6196,Nya Weber,Cohasset,"-93,63",MN,Facebook,"janeiro 13, 1971",55721,"47,18","janeiro 26, 2019, 6:39 AM"
25,1201-2099 Plumberosa Drive,stiedemann.araceli@yahoo.com,51421352-6fdf-456e-93c9-41875c275480,Araceli Stiedemann,Fayetteville,"-94,2",AR,Twitter,"fevereiro 5, 1979",72701,"36,05","agosto 16, 2016, 2:51 AM"
26,19480 Happy Creek Road,dagmar.fay@gmail.com,c754f596-48c4-4857-9000-8ea132605d6e,Dagmar Fay,Winnemucca,"-118,35",NV,Organic,"julho 20, 1962",89445,"41,47","outubro 3, 2016, 8:40 AM"
27,2398-2558 Township Highway 249,kyler.abshire@yahoo.com,179376b7-cb5e-4a61-990a-7fa5df7c1e8a,Kyler Abshire,Arcadia,"-83,54",OH,Organic,"setembro 27, 1989",44804,"41,13","abril 5, 2017, 4:05 PM"
28,355 Road 2538,keon-cartwright@hotmail.com,b9245148-1f98-4410-89ea-ec4035d97c19,Keon Cartwright,Baldwyn,"-88,57",MS,Affiliate,"outubro 25, 1991",38824,"34,43","maio 5, 2017, 7:29 AM"
29,5125 Duffy Road Southeast,broderick-lockman@gmail.com,38b3c74d-9d98-4547-94b9-9bcac3d5a762,Broderick Lockman,Lancaster,"-82,5",OH,Facebook,"setembro 9, 1990",43130,"39,7","janeiro 28, 2019, 10:06 AM"
30,13-99 Deberry Levee Road,walsh-desiree@gmail.com,20634749-9fa0-4ffe-8f9c-c7cb1c3d5e82,Desiree Walsh,DeWitt,"-91,21",AR,Affiliate,"fevereiro 23, 1988",72042,"34,31","dezembro 9, 2016, 4:07 AM"
31,2303 Christianson Hill Road,cleora.hilll@hotmail.com,866c311b-f3b4-4752-a199-0ec05072a730,Cleora Hilll,Houston,"-91,64",MN,Affiliate,"fevereiro 2, 1995",55943,"43,81","abril 5, 2019, 8:13 PM"
32,6101 County Road CC67,jayden.hamill@gmail.com,473f01a2-ea14-4782-ab69-0f7ab4e561a4,Jayden Hamill,Pueblo,"-104,88",CO,Google,"maio 23, 1967",81004,"37,95","fevereiro 25, 2018, 3:42 AM"
33,33430 Danver Trail,alphonso-quigley@yahoo.com,c07018ad-28b4-48da-a707-f513a5969d92,Alphonso Quigley,Steamboat Springs,"-106,8",CO,Affiliate,"abril 20, 1997",80487,"40,34","agosto 16, 2018, 7:08 PM"
34,3349 Holly Springs Road,goyette-emilie@yahoo.com,2ef33e82-9576-41c2-986e-777703a014f8,Emilie Goyette,Amissville,"-77,98",VA,Organic,"maio 25, 1966",20106,"38,66","janeiro 13, 2019, 5:02 AM"
35,N1962 County Road K,schuppe-chelsey@hotmail.com,6aa1e263-6496-4e45-802e-eadeb123f420,Chelsey Schuppe,Sharon,"-88,68",WI,Twitter,"março 19, 1984",53585,"42,56","dezembro 7, 2018, 8:44 PM"
36,244-298 Northwest 180 Road,ziemann-kaley@yahoo.com,51d4f8b2-71d3-4378-a7a0-46f22472cc26,Kaley Ziemann,Hoisington,"-98,82",KS,Organic,"outubro 31, 1967",67544,"38,62","outubro 13, 2017, 5:18 AM"
37,3210-3298 West Overton Road,jaleel.collins@gmail.com,608dbb0f-a21e-43bb-9688-5a1f5d3bf8cd,Jaleel Collins,Tucson,"-111,04",AZ,Facebook,"outubro 10, 1978",85742,"32,37","fevereiro 5, 2017, 6:39 AM"
38,155 Cow Creek Road,cecilia.stark@hotmail.com,b3f69b9a-5221-4708-87ca-6aad41dceb43,Cecilia Stark,Hurricane,-82,WV,Facebook,"dezembro 16, 1981",25526,"38,49","novembro 22, 2016, 1:11 AM"
39,618 150th Avenue,andreanne-hills@yahoo.com,8893e779-0875-4325-a795-0ca65555530d,Andreanne Hills,Edgerton,"-96,16",MN,Organic,"abril 26, 1988",56128,"43,94","abril 2, 2018, 1:07 PM"
40,171 Olive Oyle Lane,wolf.elyssa@hotmail.com,48eb05e6-8c28-46d0-a072-e4ad3191182d,Elyssa Wolf,Dale,"-97,56",TX,Google,"setembro 4, 1978",78616,30,"março 6, 2017, 12:54 AM"
41,31619 Silverado Lane,bernadine.gorczany@hotmail.com,059d446f-2382-4891-9099-79bc4c61023f,Bernadine Gorczany,Waukee,"-93,87",IA,Google,"março 24, 1984",50263,"41,54","maio 24, 2018, 4:27 PM"
42,30379-30383 Herbrecht Road,reyes-strosin@yahoo.com,b5cf239e-3f04-4301-8356-e43da503553a,Reyes Strosin,Watertown,-76,NY,Google,"maio 23, 1992",13601,"44,11","abril 12, 2017, 8:31 AM"
43,18001-18999 North Morrion,volkman.chaya@hotmail.com,3f43356b-8191-4fd4-86a9-435020c483b5,Chaya Volkman,Dike,"-92,67",IA,Twitter,"setembro 14, 1962",50624,"42,44","junho 4, 2017, 6:12 AM"
44,4251-4389 485th Avenue,carroll.kohler@hotmail.com,a0b2035f-6e00-4119-943a-c60b79f7534e,Carroll Kohler,Mallard,"-94,63",IA,Facebook,"março 19, 1999",50562,"43,02","janeiro 4, 2017, 10:28 PM"
45,28001-28599 180th Street,abbott-gilbert@yahoo.com,5633576b-48aa-49fa-af06-6ac1614b4a05,Gilbert Abbott,Columbus Junction,"-91,47",IA,Organic,"março 23, 1963",52738,"41,32","setembro 26, 2016, 9:46 PM"
46,15000-15312 Crooked Road Northeast,swaniawski-kaleb@gmail.com,db1bc340-a201-476f-ad9a-44356b84a9c6,Kaleb Swaniawski,Kalkaska,"-84,88",MI,Twitter,"fevereiro 13, 1996",49646,"44,85","janeiro 25, 2019, 3:35 PM"
47,111 Leupp Road,bradley.green@yahoo.com,28ddc3ee-1fb6-4d0a-8437-20be81626311,Bradley Green,Flagstaff,"-111,36",AZ,Organic,"junho 16, 1980",86004,"35,34","janeiro 24, 2018, 1:29 AM"
48,1260 29th Road,logan-weber@yahoo.com,04858e53-e1dd-4d0d-b241-2484abe833fc,Logan Weber,Morrowville,"-97,15",KS,Organic,"junho 22, 1988",66958,"39,99","novembro 24, 2017, 10:23 AM"
